Date,Open,High,Low,Close
2015-01-05,13.218,13.615,13.217,13.562
2015-01-06,13.496,13.981,13.496,13.927
2015-01-07,13.853,14.065,13.765,13.956
2015-01-08,13.975,14.1,13.819,13.87
2015-01-09,13.887,14.04,13.717,13.893
2015-01-12,13.95,14.039,13.904,14.001
2015-01-13,14.006,14.591,13.995,14.468
2015-01-14,14.461,14.503,14.014,14.258
2015-01-15,14.297,14.839,14.167,14.563
2015-01-16,14.592,15.462,14.492,15.287
2015-01-19,15.366,15.376,15.149,15.214
2015-01-20,15.238,15.583,15.188,15.551
2015-01-21,15.485,15.893,15.435,15.587
2015-01-22,15.588,16.226,15.382,16.099
2015-01-23,16.109,16.428,16.012,16.315
2015-01-26,16.398,16.51,15.842,15.918
2015-01-27,15.81,16.006,15.713,15.845
2015-01-28,15.873,15.977,15.756,15.915
2015-01-29,15.907,15.955,14.804,14.943
2015-01-30,14.984,15.322,14.819,15.251
2015-02-02,15.185,15.277,14.958,15.17
2015-02-03,15.165,15.647,14.893,15.056
2015-02-04,15.068,15.446,14.96,15.303
2015-02-05,15.334,15.404,14.795,15.004
2015-02-06,15.012,15.141,14.596,14.777
2015-02-09,14.76,15.132,14.714,14.992
2015-02-10,15.004,15.097,14.815,14.928
2015-02-11,14.932,15.088,14.769,14.806
2015-02-12,14.858,15.026,14.679,14.76
2015-02-13,14.804,15.259,14.738,15.14
2015-02-16,15.193,15.302,15.106,15.259
2015-02-17,15.257,15.286,14.282,14.451
2015-02-18,14.454,14.541,14.321,14.449
2015-02-19,14.493,14.77,14.355,14.392
2015-02-20,14.439,14.644,14.17,14.242
2015-02-23,14.269,14.652,14.186,14.377
2015-02-24,14.43,14.518,14.199,14.352
2015-02-25,14.517,14.733,14.46,14.549
2015-02-26,14.54,14.88,14.515,14.763
2015-02-27,14.838,14.875,14.596,14.791
2015-03-02,14.895,15.005,14.589,14.629
2015-03-03,14.678,14.844,14.439,14.551
2015-03-04,14.565,14.676,14.497,14.636
2015-03-05,14.626,14.803,14.585,14.67
2015-03-06,14.691,14.727,14.457,14.61
2015-03-09,14.622,14.669,14.482,14.5
2015-03-10,14.53,14.706,14.477,14.619
2015-03-11,14.627,14.818,14.433,14.695
2015-03-12,14.691,14.868,14.581,14.664
2015-03-13,14.681,14.89,14.63,14.877
2015-03-16,14.837,14.968,14.651,14.79
2015-03-17,14.771,14.776,14.441,14.681
2015-03-18,14.675,14.97,14.539,14.685
2015-03-19,14.642,15.205,14.633,15.147
2015-03-20,15.132,15.65,15.005,15.468
2015-03-23,15.51,15.618,15.338,15.534
2015-03-24,15.526,15.654,15.402,15.555
2015-03-25,15.534,15.609,15.434,15.479
2015-03-26,15.452,15.794,15.436,15.717
2015-03-27,15.698,15.833,15.528,15.567
2015-03-30,15.528,15.62,15.36,15.434
2015-03-31,15.455,15.6759,15.2139,15.5116
2015-04-01,15.507,15.858,15.357,15.757
2015-04-02,15.756,15.774,15.257,15.418
2015-04-06,15.526,15.718,15.462,15.557
2015-04-07,15.524,15.621,15.383,15.58
2015-04-08,15.576,15.587,15.213,15.348
2015-04-09,15.3,15.333,15.043,15.181
2015-04-10,15.184,15.703,15.156,15.557
2015-04-13,15.513,15.588,15.391,15.396
2015-04-14,15.397,15.473,15.143,15.151
2015-04-15,15.203,15.358,15.166,15.289
2015-04-16,15.322,15.503,15.085,15.145
2015-04-17,15.135,15.277,15.024,15.04
2015-04-20,15.122,15.189,14.779,14.873
2015-04-21,14.87,15.147,14.811,14.93
2015-04-22,14.92,15.003,14.649,14.742
2015-04-23,14.754,14.877,14.619,14.68
2015-04-24,14.676,14.712,14.432,14.486
2015-04-27,14.515,15.17,14.488,15.069
2015-04-28,15.08,15.208,14.956,15.161
2015-04-29,15.14,15.162,14.867,14.898
2015-04-30,14.879,14.941,14.217,14.394
2015-05-01,14.384,14.471,14.134,14.414
2015-05-04,14.47,14.988,14.436,14.729
2015-05-05,14.766,14.992,14.721,14.814
2015-05-06,14.836,14.854,14.482,14.575
2015-05-07,14.589,14.623,14.282,14.503
2015-05-08,14.515,14.722,14.476,14.709
2015-05-11,14.724,14.85,14.549,14.646
2015-05-12,14.606,14.78,14.437,14.754
2015-05-13,14.735,15.193,14.698,15.082
2015-05-14,15.123,15.421,15.01,15.306
2015-05-15,15.352,15.45,15.15,15.322
2015-05-18,15.409,15.678,15.295,15.657
2015-05-19,15.654,15.685,15.151,15.343
2015-05-20,15.368,15.57,15.301,15.441
2015-05-21,15.433,15.51,15.313,15.435
2015-05-22,15.456,15.608,15.35,15.522
2015-05-25,15.514,15.665,15.488,15.617
2015-05-26,15.612,15.645,15.271,15.413
2015-05-27,15.38,15.464,15.287,15.314
2015-05-28,15.312,15.381,15.22,15.233
2015-05-29,15.252,15.319,15.2,15.237
2015-06-01,15.277,15.675,15.203,15.345
2015-06-02,15.337,15.355,15.015,15.044
2015-06-03,15.056,15.09,14.569,14.661
2015-06-04,14.649,14.697,14.302,14.359
2015-06-05,14.454,14.581,14.32,14.488
2015-06-08,14.458,14.562,14.144,14.159
2015-06-09,14.16,14.363,14.147,14.158
2015-06-10,14.168,14.375,14.141,14.174
2015-06-11,14.173,14.291,14.062,14.268
2015-06-12,14.262,14.285,14.085,14.191
2015-06-15,14.297,14.463,14.131,14.264
2015-06-16,14.267,14.3,14.146,14.248
2015-06-17,14.245,14.38,14.149,14.238
2015-06-18,14.181,14.442,14.151,14.224
2015-06-19,14.247,14.346,14.061,14.218
2015-06-22,14.17,14.327,14.103,14.284
2015-06-23,14.241,14.344,14.111,14.212
2015-06-24,14.192,14.26,14.109,14.189
2015-06-25,14.206,14.249,14.091,14.158
2015-06-26,14.18,14.214,13.898,14.153
2015-06-29,14.521,14.568,13.966,14.03
2015-06-30,14.0529,14.2416,13.8703,14.1243
2015-07-01,14.15,14.157,13.983,14.101
2015-07-02,14.109,14.245,14.008,14.165
2015-07-03,14.153,14.192,14.076,14.141
2015-07-06,14.275,14.324,14.052,14.255
2015-07-07,14.23,14.33,13.454,13.703
2015-07-08,13.745,13.82,13.409,13.669
2015-07-09,13.664,14.071,13.592,13.979
2015-07-10,13.955,14.036,13.768,13.979
2015-07-13,14.053,14.13,13.802,14.102
2015-07-14,14.068,14.104,13.862,13.971
2015-07-15,13.971,14.004,13.692,13.8
2015-07-16,13.792,13.903,13.724,13.803
2015-07-17,13.815,13.826,13.692,13.74
2015-07-20,13.736,13.838,13.445,13.573
2015-07-21,13.547,13.737,13.505,13.574
2015-07-22,13.588,13.676,13.402,13.561
2015-07-23,13.546,13.635,13.271,13.361
2015-07-24,13.336,13.427,13.147,13.372
2015-07-27,13.379,13.428,13.113,13.125
2015-07-28,13.152,13.345,13.127,13.277
2015-07-29,13.292,13.529,13.233,13.493
2015-07-30,13.507,13.593,13.361,13.498
2015-07-31,13.487,13.518,13.266,13.424
2015-08-03,13.464,13.464,13.184,13.263
2015-08-04,13.226,13.44,13.165,13.411
2015-08-05,13.386,13.495,13.356,13.392
2015-08-06,13.394,13.523,13.349,13.417
2015-08-07,13.426,13.778,13.397,13.486
2015-08-10,13.489,14.017,13.462,13.829
2015-08-11,13.865,13.971,13.7,13.915
2015-08-12,13.874,13.953,13.71,13.926
2015-08-13,13.941,13.975,13.781,13.836
2015-08-14,13.827,14.011,13.665,13.719
2015-08-17,13.757,13.88,13.721,13.84
2015-08-18,13.833,13.878,13.353,13.501
2015-08-19,13.492,13.884,13.434,13.777
2015-08-20,13.76,13.959,13.744,13.852
2015-08-21,13.84,13.878,13.4,13.451
2015-08-24,13.481,13.533,12.544,12.763
2015-08-25,12.766,13.004,12.681,12.771
2015-08-26,12.774,12.817,12.288,12.492
2015-08-27,12.48,13.009,12.46,12.905
2015-08-28,12.941,13.084,12.749,13.042
2015-08-31,12.989,13.118,12.836,13.051
2015-09-01,13.038,13.115,12.879,12.908
2015-09-02,12.927,13.197,12.869,13.074
2015-09-03,13.098,13.458,13.017,13.234
2015-09-04,13.242,13.316,13.039,13.094
2015-09-07,13.152,13.161,12.969,12.978
2015-09-08,13.021,13.331,12.903,13.206
2015-09-09,13.224,13.387,13.026,13.036
2015-09-10,13.031,13.277,12.971,13.044
2015-09-11,13.048,13.094,12.661,12.902
2015-09-14,12.854,12.89,12.702,12.752
2015-09-15,12.769,12.811,12.634,12.799
2015-09-16,12.783,13.25,12.707,13.223
2015-09-17,13.216,13.441,13.073,13.244
2015-09-18,13.292,13.513,13.185,13.444
2015-09-21,13.437,13.639,13.355,13.585
2015-09-22,13.59,13.64,13.198,13.273
2015-09-23,13.277,13.391,13.184,13.224
2015-09-24,13.243,13.535,13.133,13.534
2015-09-25,13.498,13.616,13.436,13.467
2015-09-28,13.514,13.536,12.939,12.982
2015-09-29,12.987,13.125,12.87,13.012
2015-09-30,12.9867,13.1924,12.9469,13.0089
2015-10-01,13.011,13.151,12.947,12.949
2015-10-02,12.995,13.664,12.901,13.608
2015-10-05,13.621,14.066,13.453,13.997
2015-10-06,13.965,14.29,13.915,14.101
2015-10-07,14.131,14.331,14.08,14.292
2015-10-08,14.292,14.295,13.684,13.922
2015-10-09,13.912,14.133,13.855,13.936
2015-10-12,13.918,14.144,13.891,13.935
2015-10-13,13.956,14.069,13.745,13.987
2015-10-14,13.976,14.131,13.849,14.072
2015-10-15,14.057,14.219,13.997,14.156
2015-10-16,14.163,14.214,14.051,14.118
2015-10-19,14.098,14.12,13.918,13.993
2015-10-20,13.957,14.089,13.888,14.023
2015-10-21,14.008,14.058,13.787,13.855
2015-10-22,13.846,14.289,13.805,14.27
2015-10-23,14.297,14.576,14.249,14.406
2015-10-26,14.354,14.51,14.32,14.347
2015-10-27,14.36,14.465,14.284,14.368
2015-10-28,14.407,14.779,14.364,14.615
2015-10-29,14.624,14.658,14.19,14.24
2015-10-30,14.2266,14.2672,14.0226,14.1419
2015-11-02,14.129,14.129,13.831,14.003
2015-11-03,14.01,14.048,13.888,13.94
2015-11-04,13.96,14.054,13.862,13.904
2015-11-05,13.904,13.921,13.751,13.776
2015-11-06,13.787,13.872,13.711,13.737
2015-11-09,13.725,13.764,13.432,13.543
2015-11-10,13.556,13.572,13.404,13.457
2015-11-11,13.453,13.541,13.3,13.329
2015-11-12,13.337,13.488,13.194,13.235
2015-11-13,13.254,13.347,13.206,13.242
2015-11-16,13.432,13.474,13.262,13.338
2015-11-17,13.347,13.424,13.278,13.359
2015-11-18,13.274,13.374,13.168,13.307
2015-11-19,13.301,13.451,13.225,13.299
2015-11-20,13.314,13.49,13.225,13.301
2015-11-23,13.309,13.347,13.103,13.295
2015-11-24,13.29,13.444,13.226,13.339
2015-11-25,13.382,13.399,13.276,13.367
2015-11-26,13.357,13.563,13.318,13.462
2015-11-27,13.493,13.498,13.201,13.31
2015-11-30,13.289,13.4209,13.2415,13.325
2015-12-01,13.3354,13.4454,13.2594,13.3522
2015-12-02,13.3759,13.4019,13.185,13.2095
2015-12-03,13.2069,13.279,12.8494,12.9003
2015-12-04,12.927,13.427,12.867,13.381
2015-12-07,13.341,13.516,13.134,13.178
2015-12-08,13.162,13.195,12.937,13.016
2015-12-09,13.05,13.101,12.83,12.858
2015-12-10,12.871,13.0037,12.8524,12.912
2015-12-11,12.9018,12.9429,12.5607,12.6935
2015-12-14,12.729,12.729,12.438,12.443
2015-12-15,12.47,12.663,12.391,12.603
2015-12-16,12.6282,13.0525,12.5971,12.9902
2015-12-17,12.9803,13.0329,12.624,12.6731
2015-12-18,12.7048,13.092,12.6256,12.9721
2015-12-21,12.9394,13.138,12.9367,13.0566
2015-12-22,13.0593,13.1406,13,13.0179
2015-12-23,13.04,13.1665,13.017,13.1228
2015-12-24,13.1333,13.155,13.0367,13.1307
2015-12-28,13.1208,13.1427,12.6274,12.7107
2015-12-29,12.713,12.8685,12.6892,12.7847
2015-12-30,12.7691,12.8131,12.6291,12.707
2015-12-31,12.6214,12.8028,12.6214,12.7457
2016-01-04,12.8394,13.1002,12.727,12.8051
2016-01-05,12.8433,13.0966,12.833,13.0166
2016-01-06,13.0224,13.1743,12.9354,12.9962
2016-01-07,12.9883,13.2385,12.875,13.0893
2016-01-08,13.0973,13.1255,12.7429,12.7831
2016-01-11,12.8226,12.9373,12.7165,12.7661
2016-01-12,12.7792,12.7988,12.6743,12.6926
2016-01-13,12.7469,13.0854,12.713,13.0206
2016-01-14,12.9981,13.0065,12.651,12.736
2016-01-15,12.7697,12.8801,12.6277,12.7213
2016-01-18,12.7077,12.8541,12.6908,12.7987
2016-01-19,12.7872,13.048,12.759,12.864
2016-01-20,12.8551,13.0362,12.774,12.9858
2016-01-21,12.9873,13.0478,12.8431,12.9668
